# time_fs temperature_K pressure_eV_per_A3 total_energy_eV
2.590000000000000000e+02 3.791362815329354362e+03 2.814070781488004283e-02 -2.506958007501428938e+02
2.600000000000000000e+02 3.807439963772077135e+03 2.916391693434292748e-02 -2.506518454378155525e+02
2.610000000000000000e+02 3.824145495705122812e+03 3.008239138694028536e-02 -2.506798307632699050e+02
2.620000000000000000e+02 3.841051415850175090e+03 3.242024228815822834e-02 -2.506758122474173547e+02
2.630000000000000000e+02 3.858321659360692593e+03 3.657477529167231511e-02 -2.506558265111949027e+02
2.640000000000000000e+02 3.876399844680820934e+03 4.267780911882795153e-02 -2.506997933680694075e+02
2.650000000000000000e+02 3.895725327364957593e+03 5.507946458277245688e-02 -2.506558198408640408e+02
2.660000000000000000e+02 3.916538959918962064e+03 5.650640387712717316e-02 -2.506198469256664794e+02
2.670000000000000000e+02 3.938827659442176810e+03 6.166049537591106883e-02 -2.506238390913703142e+02
2.680000000000000000e+02 3.962417571307559683e+03 6.902836664070723105e-02 -2.506278453953992766e+02
2.690000000000000000e+02 3.987025157247026073e+03 7.536217975080222731e-02 -2.506718362671747684e+02
2.700000000000000000e+02 4.012272369073579739e+03 7.967287616652396487e-02 -2.506918429119007783e+02
2.710000000000000000e+02 4.037762294412800202e+03 8.648563608660055080e-02 -2.506798520386311395e+02
2.720000000000000000e+02 4.063046640906512948e+03 9.394514801708295226e-02 -2.506638770194921335e+02
2.730000000000000000e+02 4.087738587450186969e+03 1.001727855702146952e-01 -2.506718902234849509e+02
2.740000000000000000e+02 4.111640655809789678e+03 1.015819227053522122e-01 -2.506438887665919708e+02
2.750000000000000000e+02 4.134832379182551449e+03 9.718094541179948809e-02 -2.506758640086967773e+02
2.760000000000000000e+02 4.157621531524740021e+03 1.005164574789228493e-01 -2.506918526208621074e+02
2.770000000000000000e+02 4.180294775999898775e+03 1.014665092011898945e-01 -2.507038212694421588e+02
2.780000000000000000e+02 4.202824730875781825e+03 1.029435004779610946e-01 -2.506958528466453515e+02
2.790000000000000000e+02 4.224663404684240049e+03 1.032840839516605130e-01 -2.507438519507643377e+02
2.800000000000000000e+02 4.244766963755491815e+03 1.055242181272931096e-01 -2.507678681231890323e+02
2.810000000000000000e+02 4.261751910088441036e+03 1.093609216727266104e-01 -2.507479106414737657e+02
2.820000000000000000e+02 4.274363803708621163e+03 1.088147832789505137e-01 -2.507798999341340789e+02
